index,station,Bot,Del3HeC,C(He),C(Ne),C(Ar),C(Kr),C(Xe),Press (db),Dep (m),TimeJ,Lat (deg),Long (deg),Abs_sal,T_cons
0,24,22,-0.33,1.8849,8.367,17618.12,4.3394,0.6726,4.828,4.78,122.481,-75.004,165.514,34.8226597,-1.91101207
1,24,18,-0.47,1.8897,8.3782,17625.21,4.349,0.6709,151.323,149.7,122.481,-75.004,165.514,34.81752805,-1.912768454
2,24,13,-0.59,1.9013,8.3939,17671.7,4.342,0.6703,558.055,551.51,122.481,-75.004,165.514,34.81926354,-1.911751753
4,24,6,-0.77,1.9376,8.4659,17656.04,4.3334,0.6673,810.344,800.36,122.481,-75.004,165.514,34.90386923,-1.955516073
5,24,1,-0.2,1.9042,8.4146,17693.16,4.3461,0.6706,1130.5,1115.72,122.481,-75.004,165.514,34.99739952,-1.911087337
0,27,24,-0.12,1.8854,8.3637,17646.78,4.3542,0.6699,3.861,3.82,126.547,-75.084,165.029,34.85983753,-1.913046448
1,27,20,-0.4,1.9031,8.4106,17673,4.36,0.6699,99.734,98.67,126.547,-75.084,165.029,34.86156609,-1.913813869
2,27,18,-0.33,1.8901,8.373,17644.74,4.3582,0.6712,201.026,198.84,126.547,-75.084,165.029,34.86055617,-1.913882054
3,27,16,-0.41,1.9205,8.4883,17721.07,4.3485,0.6708,302.322,298.96,126.547,-75.084,165.029,34.86145101,-1.913166123
4,27,14,-0.33,1.8886,8.3809,17690.04,4.3554,0.6714,403.634,399.05,126.547,-75.084,165.029,34.8624568,-1.912660371
5,27,12,-0.2,1.8968,8.3952,17724.47,4.3561,0.6719,505.138,499.28,126.547,-75.084,165.029,34.86343597,-1.912368046
6,27,10,0.09,1.9122,8.4307,17635.11,4.3338,0.6685,625.809,618.37,126.547,-75.084,165.029,34.89057723,-1.920870114
7,27,7,0.64,1.926,8.4847,17679.52,4.3438,0.6668,707.116,698.58,126.547,-75.084,165.029,34.91472939,-1.923431297
8,27,6,0.65,1.9077,8.4218,17693.75,4.3411,0.6677,808.953,798.99,126.547,-75.084,165.029,34.94104394,-1.926817914
9,27,4,0.07,1.9067,8.4442,17745.68,4.3524,0.6676,961.697,949.5,126.547,-75.084,165.029,34.98936015,-1.910528642
